Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;LYON PART DIEU;LILLE;189.0;296.0;3.0;None;0.0;10.35810398;7.809613197;None;67.0;44.43731343;12.04897611;None;64.0;12.04897611;35.0;12.0;30.76923077;32.69230769;9.615384615;17.30769231;3.846153846;5.769230769
2018-01;National;PARIS NORD;LILLE;64.0;568.0;5.0;None;0.0;0.0;1.499230314;None;97.0;21.02491409;4.133274127;None;40.0;4.133274127;15.0;6.0;38.0952381;21.42857143;9.523809524;21.42857143;9.523809524;0.0
2018-01;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131.0;205.0;0.0;None;27.0;6.514197531;0.50990099;None;365.28344208809136;25.29444444;1.401320132;None;9.0;1.401320132;3.0;2.0;0.0;23.07692308;23.07692308;0.0;7.692307692;15.38461538
2018-01;National;GRENOBLE;PARIS LYON;183.0;245.0;0.0;None;37.0;0.0;1.212244898;None;23.0;0.0;6.123741497;None;0.0;6.123741497;0.0;0.0;17.64705882;52.94117647;0.0;23.52941176;5.882352941;0.0
2018-01;National;NIMES;PARIS LYON;176.0;341.0;2.0;None;174.0;10.28266284;5.371238938;None;72.0;39.94976852;7.793854474;None;59.0;7.793854474;32.0;12.0;18.75;40.625;17.1875;17.1875;1.5625;4.6875
2018-01;National;PARIS LYON;GRENOBLE;180.0;0.0;0.0;None;872.2920065252855;9.715;1.226208651;None;40.0;34.38666667;6.618193384;None;32.0;6.618193384;15.0;0.0;15.38461538;25.64102564;28.20512821;28.20512821;72.0439601026586;0.0
2018-01;National;PARIS LYON;MACON LOCHE;95.0;227.0;1.0;None;0.0;14.99731183;1.88620944;None;27.0;33.24382716;0.0;None;23.0;4.591814159;23.0;3.0;12.0;0.0;198.7610364132147;36.0;4.0;75.91572970554272
2018-01;National;PARIS LYON;NIMES;177.0;294.0;0.0;None;47.0;12.22801418;1.626247166;None;54.0;31.90154321;0.0;None;38.0;0.0;38.0;38.0;20.0;32.0;198.7610364132147;0.0;8.0;0.0
2018-01;National;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;168.0;118.0;0.0;None;12.0;6.373611111;0.575564972;None;13.0;30.64358974;4.12019774;None;7.0;4.12019774;4.0;2.0;40.0;30.0;0.0;0.0;10.0;0.0
2018-01;International;FRANCFORT;PARIS EST;0.0;177.0;3.0;None;43.0;118.28872062060988;1.339750958;None;26.0;25.86153846;6.438984674;None;25.0;6.438984674;6.0;1.0;30.76923077;15.38461538;23.07692308;15.38461538;7.692307692;7.692307692
2018-01;International;ITALIE;PARIS LYON;439.0;95.0;1.0;None;79.0;5.829113924;4.962765957;None;0.0;41.40931373;17.09184397;None;34.0;17.09184397;12.0;7.0;23.52941176;17.64705882;41.17647059;17.64705882;0.0;0.0
2018-01;International;PARIS LYON;ITALIE;394.0;94.0;0.0;None;27.0;11.2617284;2.997695035;None;22.0;0.0;11.60106383;None;22.0;11.60106383;15.0;6.0;33.33333333;218.65088787857883;23.80952381;14.28571429;9.523809524;0.0
2018-01;International;ZURICH;PARIS LYON;176.0;122.0;3.0;None;65.0;4.369230769;0.0;None;0.0;36.81458333;2.390616246;None;7.0;2.390616246;3.0;1.0;37.5;12.5;25.0;12.5;0.0;0.0
2018-01;National;ANGOULEME;PARIS MONTPARNASSE;125.0;270.0;4.0;None;135.0;5.710123457;2.971365915;None;56.0;21.19821429;6.464974937;None;33.0;6.464974937;9.0;0.0;26.92307692;42.30769231;9.615384615;15.38461538;3.846153846;1.923076923
2018-01;National;LYON PART DIEU;RENNES;232.0;88.0;0.0;None;50.0;7.033666667;0.0;None;20.0;36.05;10.8255814;None;20.0;10.8255814;9.0;2.0;10.52631579;63.15789474;10.52631579;15.78947368;0.0;0.0
2018-01;National;NANTES;PARIS MONTPARNASSE;128.0;525.0;3.0;None;0.0;7.294991364;2.720210728;None;84.0;33.48115079;7.225734355;None;56.0;7.225734355;29.0;11.0;37.33333333;26.66666667;0.0;4.0;9.333333333;1.333333333
2018-01;National;PARIS MONTPARNASSE;BREST;223.0;281.0;1.0;None;872.2920065252855;8.1;0.75172619;None;19.0;46.57894737;4.860714286;None;19.0;4.826241135;7.0;4.0;218.89587774190275;47.36842105;10.52631579;21.05263158;0.0;0.0
2018-01;National;PARIS MONTPARNASSE;LE MANS;54.0;441.0;2.0;None;872.2920065252855;10.47446237;0.0;None;65.0;0.0;2.997570235;None;22.0;346.4742866898222;9.0;3.0;28.94736842;26.31578947;10.52631579;26.31578947;5.263157895;2.631578947
